InChIKey,drugbank_id,groups
ZCIXBBSRVLSRJQ-QPJJXVBHSA-N,DB08564,experimental
SWELYBAPJHIOQT-UHFFFAOYSA-N,DB08594,experimental
RDFCSSHDJSZMTQ-ZDUSSCGKSA-N,DB08603,experimental
WMQHRXUKAYSPPK-UHFFFAOYSA-N,DB08612,experimental
MYFMPKCOIMRDDD-KRWDZBQOSA-N,DB08614,experimental
QMKYBPDZANOJGF-UHFFFAOYSA-N,DB08632,experimental
MSHZHSPISPJWHW-PVDLLORBSA-N,DB08633,investigational
OUQVKRKGTAUJQA-UHFFFAOYSA-N,DB08687,investigational
RYABQRLJLIHDIP-KSSFIOAISA-N,DB08775,experimental
KPGXRSRHYNQIFN-UHFFFAOYSA-N,DB08845,experimental|investigational|nutraceutical
BLMPQMFVWMYDKT-NZTKNTHTSA-N,DB08889,approved|investigational
ULXXDDBFHOBEHA-CWDCEQMOSA-N,DB08916,approved
AOCCBINRVIKJHY-UHFFFAOYSA-N,DB09010,withdrawn
XYFPWWZEPKGCCK-GOSISDBHSA-N,DB09053,approved
NDCUAPJVLWFHHB-UHNVWZDZSA-N,DB09060,approved
CURLTUGMZLYLDI-UHFFFAOYSA-N,DB09157,approved|investigational|vet_approved
FKENQMMABCRJMK-RITPCOANSA-N,DB09324,approved
DUYJMQONPNNFPI-UHFFFAOYSA-N,DB09330,approved
MXAYKZJJDUDWDS-LBPRGKRZSA-N,DB09570,approved|investigational
KGBXLFKZBHKPEV-UHFFFAOYSA-N,DB11326,approved
LHNIIDJCEODSHA-OQRUQETBSA-N,DB11592,experimental
TXJUTRJFNRYTHH-UHFFFAOYSA-N,DB11593,experimental
NGWSFRIPKNWYAO-SHTIJGAHSA-N,DB11762,investigational
KXBDTLQSDKGAEB-UHFFFAOYSA-N,DB11764,investigational
KBGAYAKRZNYFFG-BOHATCBPSA-N,DB11797,investigational
JWNPDZNEKVCWMY-VQHVLOKHSA-N,DB11828,approved|investigational
HUFOZJXAKZVRNJ-UHFFFAOYSA-N,DB11907,investigational
DEVSOMFAQLZNKR-RJRFIUFISA-N,DB11942,approved|investigational
SJFBTAPEPRWNKH-CCKFTAQKSA-N,DB11956,investigational
LVXJQMNHJWSHET-AATRIKPKSA-N,DB11963,approved|investigational
SWZXEVABPLUDIO-WSZYKNRRSA-N,DB11991,investigational
QKDCLUARMDUUKN-XMMPIXPASA-N,DB12036,investigational
IOOWNWLVCOUUEX-WPRPVWTQSA-N,DB12107,approved|investigational
HGGAKXAHAYOLDJ-FHZUQPTBSA-N,DB12190,investigational
SMOBCLHAZXOKDQ-ZJUUUORDSA-N,DB12377,approved|investigational
MQQNFDZXWVTQEH-UHFFFAOYSA-N,DB12598,investigational
TXGZJQLMVSIZEI-UQMAOPSPSA-N,DB12651,investigational
YKGYIDJEEQRWQH-UHFFFAOYSA-N,DB12831,investigational
MRMBZHPJVKCOMA-YJFSRANCSA-N,DB13028,investigational
KNWQLFOXPQZGPX-UHFFFAOYSA-N,DB13058,investigational
KTEXNACQROZXEV-SLXBATTESA-N,DB13063,approved|investigational
YCZPXRQPDCXTIO-BBBLOLIVSA-N,DB13090,investigational
WYMSBXTXOHUIGT-UHFFFAOYSA-N,DB13495,experimental
XPYBSIWDXQFNMH-UYFOZJQFSA-N,DB13863,experimental
KJPRLNWUNMBNBZ-QPJJXVBHSA-N,DB14184,approved|experimental
NKHAVTQWNUWKEO-NSCUHMNNSA-N,DB14219,approved|experimental|investigational
QTBSBXVTEAMEQO-UHFFFAOYSA-M,DB14511,experimental
ODMXWZROLKITMS-RISCZKNCSA-N,DB14768,investigational
BJDZBXGJNBMCAV-UHFFFAOYSA-N,DB14821,investigational
CBRJPFGIXUFMTM-WDEREUQCSA-N,DB14924,investigational
RNOAOAWBMHREKO-QFIPXVFZSA-N,DB15035,approved|investigational
KEIPNCCJPRMIAX-HNNXBMFYSA-N,DB15149,investigational
MBWRLLRCTIYXDW-UHFFFAOYSA-N,DB15169,investigational
SEJLPXCPMNSRAM-GOSISDBHSA-N,DB15227,investigational
SDNYTAYICBFYFH-TUFLPTIASA-N,DB15251,experimental
VJPPLCNBDLZIFG-ZDUSSCGKSA-N,DB15347,investigational
RSBPYSTVZQAADE-RQJHMYQMSA-N,DB15353,investigational
NXQKSXLFSAEQCZ-SFHVURJKSA-N,DB15569,investigational
HJFSVYUFOXAVAA-YUAYGMJFSA-N,DB16050,investigational
ROZCIVXTLACYNY-UHFFFAOYSA-N,DB16103,investigational
MGZKYOAQVGSSGC-DLBZAZTESA-N,DB16167,investigational
JYIUNVOCEFIUIU-GHMZBOCLSA-N,DB16228,investigational
PFZUWUXKQPRWAL-NOLJZWGESA-N,DB16338,investigational
RICZEKWVNZFTNZ-LFGITCQGSA-N,DB14760,
